"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","401","001","13","3.269","7.7","53.8","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","401","002","14","2.929","28.6","28.6","14.3",".","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"","401","003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","42","3.417","47.6","26.2","14.3",".","7.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","71","3.029","15.5","15.5","35.2","21.1","9.9",".",".","2.8",".",".",".",".",".",".",".","."
"Constitutional Law","412","001","136","3.192","20.6","25.0","30.1","15.4","6.6",".",".","2.2",".",".",".",".",".",".",".","."
"Latino History and Politics","422","001","11","3.550","54.5","9.1","18.2",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Legislative Process","426","001","65","2.952","16.9","12.3","36.9","15.4","7.7","6.2",".","1.5",".",".",".",".","1.5","1.5",".","."
"Legislative Internship","427","001","29","3.862","72.4","27.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Natl Scrty:Polcy&Prcss","442","001","41","3.256","24.4","26.8","26.8","19.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","213","3.121","27.2","17.8","26.3","14.6","9.9","2.8","0.5","0.9",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","467","001","26","3.365","38.5","23.1","30.8","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"Dev Mod West Pol Thought","502","001","68","2.956","8.8","22.1","41.2","16.2","8.8","1.5","1.5",".",".",".",".",".",".",".",".","."
"Radical Political Theory","513","001","25","3.750","84.0",".","8.0",".",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"Multivar Stat Infernc-Pol Rsch","552","001","21","3.553","47.6","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Computing-Poli Sci","553","001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Comparative Political Econ","611","001","40","2.938","20.0","12.5","32.5","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"Political Islam","618","001","79","2.812","22.8","11.4","22.8","12.7","17.7","7.6","2.5",".",".",".",".",".",".","1.3",".","1.3"
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 280 of 405",""
