"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","401","001","76","3.236","36.8","19.7","17.1","10.5","7.9","5.3",".","2.6",".",".",".",".",".",".",".","."
"","401","002","34","2.735","26.5","5.9","20.6","11.8","20.6","14.7",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","110","3.079","33.6","15.5","18.2","10.9","11.8","8.2",".","1.8",".",".",".",".",".",".",".","."
"State Gov & Public Policy","405","001","24","3.167","12.5","41.7","25.0","16.7",".","4.2",".",".",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","131","3.004","15.3","22.1","32.1","13.7","11.5","3.8",".","0.8",".",".",".",".","0.8",".",".","."
"American Judicial System","417","001","66","3.315","24.2","36.4","21.2","13.6","1.5","1.5",".","1.5",".",".",".",".",".",".",".","."
"Citiznshp, Democrcy&Difference","425","001","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","24","3.717","50.0","37.5","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Cmmnty Power&Grass Roots Pol","428","001","8","3.571","50.0","25.0",".",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Mexican-American Politics","464","001","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"The First Amendment","470","001","207","3.155","18.8","27.5","30.4","9.7","10.6","1.0",".","1.0",".",".",".",".",".","1.0",".","."
"Public Opinion","473","001","45","3.919","82.2","11.1","2.2",".",".",".",".",".",".",".",".",".","4.4",".",".","."
"Ancient&Medvl West Thought","501","001","46","3.359","30.4","30.4","26.1","10.9",".","2.2",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","506","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","10","2.950","30.0","30.0",".","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Intro Stat Inference-Pol Rsch","551","001","25","3.239","28.0","32.0","12.0","12.0",".","8.0",".",".",".",".",".",".","8.0",".",".","."
"Hist-Amer Political Thought","565","001","65","3.531","27.7","50.8","18.5","1.5",".",".",".",".",".",".",".",".","1.5",".",".","."
"Comparative Politics of Sport","616","001","40","3.163","27.5","17.5","37.5","10.0","2.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 282 of 410",""
