"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"The Real Estate Process","Course Total","36","2.639","13.9","19.4","30.6","2.8","16.7","8.3","8.3",".","",".",".","",".","",".",".",".",".","."
"Study Abroad-Intermed Econ","309
00A","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","310
001","188","3.181","41.5","14.4","16.0","10.1","13.3","2.1","2.7",".","",".",".","",".","",".",".",".",".","."
"","310
002","122","3.062","23.0","23.0","20.5","17.2","12.3","2.5","0.8",".","",".",".","",".","",".",".","0.8",".","."
"Stats:Measrmnt in Economics","Course Total","310","3.134","34.2","17.7","17.7","12.9","12.9","2.3","1.9",".","",".",".","",".","",".",".","0.3",".","."
"Intmed Macroecon-Adv Treatment","312
001","25","3.300","48.0","24.0","8.0","12.0",".",".","8.0",".","",".",".","",".","",".",".",".",".","."
"Data Visualization for Econ","315
001","38","3.461","50.0","23.7","10.5","5.3","7.9","2.6",".",".","",".",".","",".","",".",".",".",".","."
"","320
002","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320
003","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320
005","4","3.125",".","50.0","25.0","25.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Investment Theory","Course Total","7","3.286","28.6","28.6","14.3","28.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Money and Banking","330
001","88","3.256","27.3","25.0","23.9","19.3","4.5",".",".",".","",".",".","",".","",".",".",".",".","."
"Environmental Economics","343
001","53","2.769","13.2","24.5","17.0","17.0","17.0","5.7","3.8",".","",".",".","",".","",".",".",".",".","1.9"
"Economics Poverty Inequality","370
001","14","2.893","28.6","35.7",".","14.3","7.1",".","14.3",".","",".",".","",".","",".",".",".",".","."
"","390
001","39","3.795","71.8","15.4","12.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","390
002","33","2.750","12.1","18.2","27.3","18.2","12.1","3.0","6.1",".","",".",".","",".","",".",".","3.0",".","."
"Contemporary Economic Issues","Course Total","72","3.324","44.4","16.7","19.4","8.3","5.6","1.4","2.8",".","",".",".","",".","",".",".","1.4",".","."
"Intro Applied Econometrics","001
400","91","3.049","24.2","20.9","15.4","24.2","13.2","2.2",".",".","",".",".","",".","",".",".",".",".","."
"Introductory Econometrics","410
001","95","3.042","25.3","20.0","17.9","20.0","13.7","2.1","1.1",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 218 of 454",""
