"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","324
002","134","3.037","26.9","23.1","17.2","9.7","17.2","5.2","0.7",".","",".",".","",".","",".",".",".",".","."
"","324
003","137","2.934","20.4","15.3","29.2","15.3","13.1","5.8","0.7",".","",".",".","",".","",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","413","3.021","25.4","18.4","24.0","12.3","14.0","5.1","0.7",".","",".",".","",".","",".",".",".",".","."
"Applied Regression Analysis","333
001","48","3.968","93.8","2.1","2.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","2.1"
"","340
001","128","3.681","64.8","21.1","6.3","1.6","3.9","1.6",".",".","",".",".","",".","",".",".","0.8",".","."
"","340
002","99","3.587","62.6","13.1","16.2","2.0","2.0","1.0","2.0",".","",".",".","",".","",".","1.0",".",".","."
"Intro to Data Modeling II","Course Total","227","3.640","63.9","17.6","10.6","1.8","3.1","1.3","0.9",".","",".",".","",".","",".","0.4","0.4",".","."
"","351
001","50","3.110","18.0","28.0","26.0","14.0","14.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","351
002","20","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro Nonparametric Stats","Course Total","70","3.364","41.4","20.0","18.6","10.0","10.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","001
371","130","2.988","26.2","20.8","18.5","12.3","14.6","6.2","1.5",".","",".",".","",".","",".",".",".",".","."
"","002
371","120","3.008","26.7","15.0","20.0","21.7","10.8","3.3","1.7",".","",".",".","",".","",".","0.8",".",".","."
"","371
003","115","3.022","21.7","14.8","32.2","13.9","14.8","2.6",".",".","",".",".","",".","",".",".",".",".","."
"","371
004","110","2.835","22.7","12.7","26.4","7.3","21.8","4.5","3.6",".","",".",".","",".","",".","0.9",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 336 of 454",""
