"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","299
017","1","",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","100.0","."
"","299
023","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
035","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
039","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
049","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
059","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
073","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
076","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","9","4.000","88.9",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","11.1","."
"Chem Across the Periodic Table","311
001","49","2.878","24.5","16.3","26.5","4.1","18.4","6.1","4.1","",".","",".",".","",".","",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","71","3.183","26.8","25.4","25.4","14.1","4.2","2.8","1.4","",".","",".",".","",".","",".",".",".",".","."
"","329
001","52","3.298","32.7","17.3","34.6","7.7","7.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"","329
002","65","3.062","27.7","13.8","33.8","4.6","16.9",".","3.1","",".","",".",".","",".","",".",".",".",".","."
"Fundamentals of Analytical Sci","Course Total","117","3.167","29.9","15.4","34.2","6.0","12.8",".","1.7","",".","",".",".","",".","",".",".",".",".","."
"","001
343","208","2.853","24.0","16.3","19.7","9.1","21.6","5.3","3.4","",".","",".",".","",".","",".",".",".","0.5","."
"","343
002","208","2.910","26.9","4.8","29.3","10.1","23.1","4.3","0.5","",".","",".",".","",".","",".","1.0",".",".","."
"","343
003","206","2.693","18.9","6.3","24.8","10.2","29.6","3.4","3.4","",".","",".",".","",".","",".","2.4","0.5",".","0.5"
"Intro Organic Chemistry","Course Total","622","2.820","23.3","9.2","24.6","9.8","24.8","4.3","2.4","",".","",".",".","",".","",".","1.1","0.2","0.2","0.2"
"","344
001","16","3.125","37.5",".","18.8","37.5","6.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
002","17","2.735","17.6","5.9","41.2","11.8","11.8","5.9","5.9","",".","",".",".","",".","",".",".",".",".","."
"","344
003","18","3.139","22.2","27.8","16.7","22.2","11.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
004","15","3.100","20.0","20.0","26.7","26.7","6.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
005","12","3.208","33.3","16.7","25.0","8.3","16.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
006","18","2.917","22.2","16.7","22.2","22.2","11.1",".","5.6","",".","",".",".","",".","",".",".",".",".","."
"","344
007","16","3.344","37.5","18.8","18.8","25.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
008","16","3.188","25.0","18.8","31.3","18.8","6.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
009","15","3.400","26.7","40.0","20.0","13.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
010","15","3.333","40.0","26.7","6.7","13.3","13.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
011","14","3.286","21.4","28.6","35.7","14.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","344
012","15","3.200","33.3","13.3","33.3","13.3",".","6.7",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 194 of 454",""
