"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","706
001","","21","3.548","38.1","38.1","19.0","4.8",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","706
002","","3","3.500","33.3","33.3","33.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Adv Financial Reporting","Course Total","","24","3.542","37.5","37.5","20.8","4.2",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Managerial Accounting","710
040","","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","","19","3.816","63.2","36.8",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Corporate Taxation","726
001","","20","3.600","35.0","50.0","15.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","730
001","","25","3.560","40.0","36.0","20.0","4.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","730
002","","27","3.648","48.1","33.3","18.5",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Assurance Services","Course Total","","52","3.606","44.2","34.6","19.2","1.9",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","740
001","","20","3.625","45.0","35.0","20.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","740
002","","15","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Info Risk, Contrl, & Forensics","Course Total","","35","3.714","54.3","34.3","11.4",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","765
001","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","771
001","","15","3.900","80.0","20.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","771
002","","12","3.833","83.3",".","16.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","Course Total","","27","3.870","81.5","11.1","7.4",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","Page 51 of 454"
