"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","226
002","3","2.333","33.3",".","33.3",".",".",".","33.3","",".","",".",".","",".","",".","",".",".",".","."
"","226
003","14","3.286","28.6","35.7","14.3","7.1","14.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","226
004","19","3.658","68.4","5.3","15.8","10.5",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","226
005","18","3.333","33.3","38.9","5.6","5.6","16.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","226
006","14","3.464","35.7","42.9","7.1","7.1","7.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","226
007","12","3.375","58.3","8.3","16.7",".","8.3","8.3",".","",".","",".",".","",".","",".","",".",".",".","."
"","226
008","6","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","226
010","12","3.792","66.7","25.0","8.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","226
011","20","3.525","45.0","25.0","25.0",".","5.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","226
012","15","3.533","46.7","13.3","40.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
