"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"WES Calculus Supplement","Course Total","20","3.775","75.0","5.0","20.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","234
001","221","2.781","24.0","4.5","39.4","5.0","14.9","5.9","6.3",".",".",".","",".","",".",".",".",".","."
"","234
002","210","2.752","20.5","3.8","40.0","5.7","19.0","7.6","3.3",".",".",".","",".","",".",".",".",".","."
"","234
003","184","2.621","25.5","4.9","29.9","2.7","17.4","8.7","9.8","1.1",".",".","",".","",".",".",".",".","."
"Calc--Functns of Variables","Course Total","615","2.723","23.3","4.4","36.7","4.6","17.1","7.3","6.3","0.3",".",".","",".","",".",".",".",".","."
"","240
001","83","3.146","30.1","14.5","33.7","9.6","4.8","4.8","1.2",".",".",".","",".","",".","1.2",".",".","."
"","240
002","65","2.984","24.6","13.8","21.5","20.0","13.8",".","3.1",".",".",".","",".","",".","3.1",".",".","."
"Intro to Discrete Mathematics","Course Total","148","3.076","27.7","14.2","28.4","14.2","8.8","2.7","2.0",".",".",".","",".","",".","2.0",".",".","."
"","309
001","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","309
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","34","3.941","91.2","5.9","2.9",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","6","3.083","16.7","16.7","33.3","33.3",".",".",".",".",".",".","",".","",".",".",".",".","."
"Tech-Ordinary Diff Equation","319
001","81","3.133","46.9","6.2","19.8","7.4","6.2","6.2","4.9","1.2",".",".","",".","",".","1.2",".",".","."
"","320
001","138","3.044","30.4","16.7","23.2","6.5","14.5","7.2","0.7","0.7",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","Page 277 of 454",""
