"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","344
030","16","2.969","31.3","6.3","31.3","12.5","12.5",".","6.3","",".","",".",".","",".","",".","",".",".",".","."
"","344
031","14","3.179","14.3","14.3","64.3","7.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
032","15","3.100","13.3","33.3","33.3","13.3",".","6.7",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
033","13","3.077","15.4","7.7","53.8","23.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
034","16","3.156","25.0","6.3","43.8","25.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
037","17","3.118","11.8","35.3","29.4","11.8","11.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
038","16","3.281","37.5","18.8","18.8","12.5","12.5",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
039","14","3.107","14.3","7.1","64.3","14.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","344
040","14","3.357","35.7","14.3","35.7","14.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","549","3.173","26.8","17.3","32.8","14.8","6.9","0.5","0.9","",".","",".",".","",".","",".","",".",".",".","."
"","345
001","186","2.685","19.4","12.4","25.8","10.8","18.3","7.0","6.5","",".","",".",".","",".","",".","",".",".",".","."
"","345
002","183","2.962","22.4","16.9","23.5","8.2","27.3","1.6",".","",".","",".",".","",".","",".","",".",".",".","."
"","345
003","128","2.785","19.5","7.8","30.5","8.6","28.1","3.9","1.6","",".","",".",".","",".","",".","",".",".",".","."
"","345
004","16","3.813","75.0","12.5","12.5",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","005
345","214","2.862","21.5","11.7","26.6","8.4","27.1","4.2","0.5","",".","",".",".","",".","",".","",".",".",".","."
"","345
006","170","2.979","25.9","11.8","27.1","8.8","23.5","2.9",".","",".","",".",".","",".","",".","",".",".",".","."
"Intmed Organic Chemistry","Course Total","897","2.874","22.7","12.4","26.2","8.8","24.3","3.9","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Polymeric Materials","421
001","2","2.750",".",".","50.0","50.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Industrial Chem and Business","505
001","16","2.500","6.3","18.8","18.8","6.3","18.8","18.8",".","",".","",".",".","",".","",".","",".",".","12.5","."
"Advanced Inorganic Chemistry","511
001","10","3.650","70.0","10.0","10.0",".","10.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Chemical Instrumentation","001
524","43","3.116","30.2","14.0","23.3","18.6","11.6","2.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Physical Chemistry","561
001","33","3.091","21.2","24.2","27.3","12.1","12.1","3.0",".","",".","",".",".","",".","",".","",".",".",".","."
"Physical Chemistry","562
001","112","3.134","20.5","29.5","31.3","8.0","5.4","3.6","1.8","",".","",".",".","",".","",".","",".",".",".","."
"","563
001","8","3.250","62.5",".","25.0",".",".",".","12.5","",".","",".",".","",".","",".","",".",".",".","."
"","563
003","8","3.813","75.0","12.5","12.5",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","563
004","7","3.857","71.4","28.6",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","563
006","10","3.800","90.0",".",".",".","10.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Physical Chemistry Lab","Course Total","33","3.682","75.8","9.1","9.1",".","3.0",".","3.0","",".","",".",".","",".","",".","",".",".",".","."
"","564
001","11","3.182","9.1","36.4","45.5",".","9.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 195 of 454",""
