"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"Conflict Resolution","378","001","17","3.412","23.5","52.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","401","001","72","3.139","12.5","30.6","43.1","11.1",".",".","2.8",".",".",".",".",".",".",".",".","."
"","401","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","003","24","3.190","25.0","20.8","25.0","12.5",".",".","4.2",".",".",".",".",".","12.5",".",".","."
"Selected Topics-Poli Sci","","Course Total","106","3.215","23.6","25.5","34.9","10.4",".",".","2.8",".",".",".",".",".","2.8",".",".","."
"Constitutional Law","411","001","135","3.178","27.4","21.5","21.5","16.3","9.6","1.5",".","2.2",".",".",".",".",".",".",".","."
"Citiznshp, Democrcy&Difference","425","001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legislative Process","426","001","67","2.950","17.9","22.4","20.9","16.4","16.4",".","3.0","1.5",".",".",".",".","1.5",".",".","."
"Legislative Internship","427","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","462","001","17","3.206","29.4","29.4","23.5",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Campaign Finance","466","001","133","3.107","12.8","21.8","43.6","12.0","3.0",".","1.5","3.0",".",".",".",".","1.5","0.8",".","."
"Election Campaign Practicum","468","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ancient&Medvl West Thought","501","001","73","3.315","24.7","38.4","26.0","2.7","5.5","2.7",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","506","001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","27","3.389","11.1","66.7","14.8","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Inference-Pol Rsch","551","001","31","3.419","51.6","22.6","6.5","9.7","3.2","6.5",".",".",".",".",".",".",".",".",".","."
"Comparative Politics of Sport","616","001","54","3.157","25.9","25.9","25.9","3.7","7.4","1.9","3.7","3.7",".",".",".",".",".","1.9",".","."
"Comparatv Legal Institutns","617","001","49","2.885","10.2","20.4","28.6","22.4","12.2","4.1",".",".",".",".",".",".","2.0",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 280 of 402",""
