"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"Health Policy & Politics","440","001","97","3.271","20.6","23.7","43.3","11.3",".",".",".","1.0",".",".",".",".",".",".",".","."
"Campaign Finance","466","001","92","3.287","22.8","28.3","31.5","12.0","1.1","1.1",".","2.2",".",".",".",".",".","1.1",".","."
"Elections & Voting Behavior","467","001","91","3.250","22.0","34.1","18.7","19.8","4.4",".",".","1.1",".",".",".",".",".",".",".","."
"The First Amendment","470","001","216","3.085","17.6","25.5","27.3","17.1","7.9","1.4","0.9","0.5",".",".",".",".",".","0.9",".","0.9"
"Washington Internship","478","001","8","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ancient&Medvl West Thought","501","001","68","3.066","11.8","32.4","22.1","25.0","8.8",".",".",".",".",".",".",".",".",".",".","."
"Challenge of Democratizatn","505","001","82","3.601","47.6","28.0","18.3","4.9",".",".",".","1.2",".",".",".",".",".",".",".","."
"","506","001","8","3.500","37.5","50.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","506","002","56","3.482","44.6","32.1","14.3","1.8","1.8",".","3.6",".",".",".",".",".","1.8",".",".","."
"Topics in Political Philos","","Course Total","64","3.484","43.8","34.4","12.5","1.6","3.1",".","3.1",".",".",".",".",".","1.6",".",".","."
"Feminist Political Theory","517","001","26","3.635","46.2","34.6","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Inference-Pol Rsch","551","001","29","3.270","51.7","10.3","20.7","6.9","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"Contemp Amer Polit Thought","566","001","24","3.068","12.5","29.2","29.2","16.7",".",".","4.2","8.3",".",".",".",".",".",".",".","."
"Transitions to the Market","612","001","61","2.839","13.1","18.0","24.6","23.0","13.1","1.6","3.3",".",".",".",".",".",".","1.6",".","1.6"
"Comparative Politics of Sport","616","001","64","3.242","17.2","34.4","34.4","10.9","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Comparatv Legal Institutns","617","001","139","2.928","8.6","25.9","35.3","14.4","10.1","3.6","1.4","0.7",".",".",".",".",".",".",".","."
"The Politics of Development","652","001","27","3.308","29.6","25.9","22.2","11.1","7.4",".",".",".",".",".",".",".",".",".",".","3.7"
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 279 of 407",""
