"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","470
001 308","21","3.184","19.0","19.0","33.3","14.3","4.8",".",".",".",".",".",".",".",".","9.5",".","."
"","470
001 303","18","3.222","11.1","50.0","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"The First Amendment","Course Total","176","3.252","19.3","29.0","31.8","12.5","2.8","0.6",".","1.1",".",".",".",".","1.1","1.7",".","."
"Public Opinion","473
001","61","3.356","27.9","37.7","19.7","4.9","3.3","1.6","1.6","1.6",".",".",".",".","1.6",".",".","."
"Ancient&Medvl West Thought","501
001","58","3.446","22.4","48.3","20.7","3.4","1.7",".",".",".",".",".",".",".",".","3.4",".","."
"","506
001","107","3.587","34.6","45.8","14.0","1.9",".",".",".","0.9",".",".",".",".","2.8",".",".","."
"","506
001 301","31","3.517","25.8","48.4","16.1","3.2",".",".",".",".",".",".",".",".","6.5",".",".","."
"Topics in Political Philos","Course Total","138","3.572","32.6","46.4","14.5","2.2",".",".",".","0.7",".",".",".",".","3.6",".",".","."
"Feminist Political Theory","517
001","53","3.280","35.8","28.3","20.8","5.7",".","1.9","5.7",".",".",".",".",".","1.9",".",".","."
"Ethics&Values-Policy Making","530
001","46","3.333","23.9","43.5","15.2","10.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"","551
001 302","15","3.186","26.7","33.3","13.3","13.3",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"","551
001 303","11","2.788","18.2","27.3","27.3",".","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"Quantitative Anal-Pol Data","Course Total","26","2.994","23.1","30.8","19.2","7.7","3.8","3.8","7.7",".",".",".",".",".","3.8",".",".","."
