"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"Modern Physics","Course Total","77","2.883","14.3","22.1","22.1","19.5","15.6","3.9","2.6",".",".",".",".",".",".",".",".","."
"","247
001 301 6","13","2.962","15.4","7.7","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","247
001 302 6","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","247
001 303 6","11","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","Course Total","39","3.333","33.3","20.5","33.3","5.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","249
001 302","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
001 301","8","3.375","50.0",".","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","Course Total","19","3.579","63.2",".","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","307
001","10","3.278",".","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","307
004","11","3.550","9.1","81.8",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","307
005","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","31","3.517","16.1","64.5","12.9",".",".",".",".",".",".",".",".",".","3.2",".","3.2","."
"Mechanics","311
001 301","30","3.483","43.3","20.0","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","321
001 302","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001 301","10","3.100","30.0","40.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","Course Total","13","3.231","38.5","30.8","15.4",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001 301","24","2.935","12.5","33.3","16.7","12.5","12.5","4.2","4.2",".",".",".",".",".",".","4.2",".","."
"Special Topics in Physics","406
001","18","2.939","22.2","27.8","27.8",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","12","3.273","25.0","25.0","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".","8.3","."
"Atomic and Quantum Physics","448
001","38","3.568","39.5","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"Radioisotopes-Med & Biology","463
001 301","3","3.357",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","499
068","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Particle Physics","535
001","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atomic Structure","545
001","13","3.308","23.1","30.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Solid State Physics","551
001","23","3.587","47.8","26.1","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 308 of 441",""
