"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","355
001 305","12","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001 303","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001 301","13","3.038",".","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","355
001 304","14","3.357","14.3","50.0","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Video Production","Course Total","127","3.146","7.9","31.5","44.9","13.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358
001 301","21","3.200","42.9","4.8","14.3","14.3","14.3","4.8",".",".",".",".",".",".","4.8",".",".","."
"Intro to Rhetorical Thry&Crit","360
001","26","3.231","23.1","15.4","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","368
001 306","22","3.114","9.1","36.4","31.8","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","368
001 305","17","2.882","5.9","11.8","47.1","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","368
001 304","17","3.206","23.5","23.5","29.4","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"","368
001 302","16","3.438","43.8","12.5","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","368
001 301","17","3.294","17.6","52.9","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","368
001 303","18","3.250","33.3","11.1","33.3","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","Course Total","107","3.192","21.5","25.2","29.9","16.8","4.7","1.9",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374
001","26","2.957","7.7","15.4","30.8","30.8","3.8",".",".","7.7",".",".",".",".","3.8",".",".","."
"Miscommunication","410
001","43","3.000","11.6","9.3","58.1","9.3","11.6",".",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450
001 301","43","3.190","14.0","20.9","53.5","7.0","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"Television Criticism","451
001","42","3.381","31.0","21.4","40.5","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454
001 301","5","3.625","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"French Film","455
001 301","26","2.886","11.5","23.1","15.4","19.2","11.5",".","3.8",".",".",".",".",".","15.4",".",".","."
"","457
001 311","19","3.000","10.5","26.3","47.4","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","457
001 307","25","3.300","24.0","40.0","16.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","457
001 310","20","3.125","10.0","25.0","50.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","457
001 308","19","3.105","5.3","36.8","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","457
001 312","19","3.194","21.1","10.5","52.6","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","457
001 309","17","3.412","29.4","29.4","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
