"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"Constructability Analysis","Course Total","","16","3.600","50.0","12.5","31.3",".",".","",".","",".",".",".",".",".",".","6.3",".",".","."
"","609
001","","15","3.500","33.3","33.3","33.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","609
002","","8","4.000","87.5",".",".",".",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"Spec Topics-Water Chemistry","Course Total","","23","3.643","52.2","21.7","21.7",".",".","",".","",".",".",".",".",".",".","4.3",".",".","."
"Topic-Hydraulics&Fluid Mech","618
001","","7","3.583","28.6","42.9","14.3",".",".","",".","",".","14.3",".",".",".",".",".",".",".","."
"Topics in Geospacial Info Engr","659
001 301","","10","3.750","60.0","30.0","10.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan","679
002","","8","3.643","50.0","12.5","25.0",".",".","",".","",".","12.5",".",".",".",".",".",".",".","."
"Mgmt-Civil Infrastruct Sys","694
001","","7","3.500","28.6","42.9","28.6",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","698
002","","12","3.583","41.7","33.3","25.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","698
003","","10","3.278","30.0","10.0","40.0",".","10.0","",".","",".",".",".",".",".",".","10.0",".",".","."
"Topics:Constructn Engr&Mgmt","Course Total","","22","3.522","36.4","22.7","31.8",".","4.5","",".","",".",".",".",".",".",".","4.5",".",".","."
"","699
010","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
053","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
054","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
061","","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
062","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
063","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
064","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
066","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Stat Modlng-Hydrolog Systms","716
001","","8","3.688","37.5","62.5",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Meths-Structural Analysis","740
001","","13","3.462","30.8","30.8","38.5",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Img Proc Algrth-Remote Sens","758
001 301","","5","3.600","20.0","80.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
002","","2","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","790
010","","2","",".",".",".",".",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","790
012","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 111 of 441",""
