"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"Iss, Mtls & Mthds-Hlth Educ","567
001","","19","3.895","84.2","10.5","","5.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","","15","3.857","66.7","26.7","",".",".","",".","",".","",".",".",".",".",".",".","6.7",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","","13","3.962","92.3","7.7","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Methods-Instructn w/Technol","600
001","","17","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","","26","3.981","96.2","3.8","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro-Video Production-Educ","605
001","","7","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Criticl Educ Pract-Internet","606
001","","6","3.893","83.3","16.7","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","","3","4.000","66.7",".","",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","630
001","","11","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","630
002","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 85 of 441",""
