"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","234
003 346","19","2.842","15.8","15.8","15.8","26.3","26.3",".",".",".",".",".",".",".",".",".",".","."
"","234
003 348","21","3.119","4.8","42.9","33.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","234
003 352","20","2.750","35.0",".","5.0","20.0","35.0",".","5.0",".",".",".",".",".",".",".",".","."
"","Section Total","168","2.841","21.4","17.3","18.5","14.3","20.2","2.4","5.4",".",".",".",".",".","0.6",".",".","."
"","234
004","30","3.017","33.3","3.3","30.0",".","20.0","13.3",".",".",".",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","633","2.926","25.3","13.9","24.5","9.6","17.4","4.6","4.3",".","0.2",".",".",".","0.3",".",".","."
"","240
001 305","5","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
001 302","13","2.577","15.4",".","23.1","7.7","46.2","7.7",".",".",".",".",".",".",".",".",".","."
"","240
001 301","12","2.750","16.7","8.3","16.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","240
001 303","13","3.077","30.8","15.4","23.1",".","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"","240
001 304","13","2.615","7.7","15.4","15.4","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".","."
"","240
001 308","12","2.500","8.3","8.3","33.3","8.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".","."
"","240
001 307","8","2.375","12.5",".","12.5",".","62.5","12.5",".",".",".",".",".",".",".",".",".","."
"","240
001 306","7","2.643","14.3",".","28.6","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","83","2.717","16.9","8.4","22.9","9.6","31.3","9.6","1.2",".",".",".",".",".",".",".",".","."
"Topics in Calculus I","275
001","13","3.308","15.4","30.8","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276
001 301","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276
002","12","3.083","25.0","33.3","25.0",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Topics in Calculus II","Course Total","22","3.409","50.0","18.2","22.7",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Directed Study in Math","298
015","63","",".",".",".",".",".",".",".",".",".","98.4",".",".",".",".",".","1.6"
"","309
001 312","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","309
001 311","6","2.500","16.7",".","50.0",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","Course Total","15","3.033","26.7","13.3","40.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","319
001","31","2.403","6.5","16.1","16.1","25.8","9.7","12.9","12.9",".",".",".",".",".",".",".",".","."
"","319
002","26","2.750","15.4","11.5","26.9","15.4","19.2","7.7","3.8",".",".",".",".",".",".",".",".","."
"","319
003","27","2.741","14.8","18.5","11.1","25.9","25.9",".","3.7",".",".",".",".",".",".",".",".","."
"","319
004","30","2.783","23.3","13.3","13.3","10.0","26.7","10.0","3.3",".",".",".",".",".",".",".",".","."
"","319
006","24","3.022","20.8","16.7","25.0","12.5","8.3","12.5",".",".",".",".",".",".",".",".","4.2","."
"","319
007","26","2.904","15.4","23.1","26.9","11.5","19.2",".","3.8",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 282 of 441",""
