"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"105","003","","16","2.906","12.5","12.5","31.3","31.3","6.3","6.3",".","",".","",".",".","",".","",".",".",".",".","."
"105","004","","13","3.577","38.5","46.2","7.7","7.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"105","005","","17","3.313","11.8","47.1","23.5","11.8",".",".",".","",".","",".",".","",".","",".","5.9",".",".","."
"105","006","","15","3.100","6.7","33.3","40.0","13.3","6.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"105","009","","14","3.357","28.6","35.7","21.4","7.1",".","7.1",".","",".","",".",".","",".","",".",".",".",".","."
"","Course Total","","87","3.203","16.1","35.6","25.3","16.1","3.4","2.3",".","",".","",".",".","",".","",".","1.1",".",".","."
"199","006","","1","",".",".",".",".",".",".",".","",".","",".",".","",".","",".","100.0",".",".","."
"199","018","","1","",".",".",".",".",".",".",".","",".","",".",".","",".","",".","100.0",".",".","."
"199","077","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Course Total","","3","4.000","33.3",".",".",".",".",".",".","",".","",".",".","",".","",".","66.7",".",".","."
"250","001 301 6","","17","2.500","11.8","5.9","35.3","5.9","23.5",".","11.8","",".","",".",".","",".","",".","5.9",".",".","."
"250","001 301 6","","22","3.068","13.6","18.2","45.5","13.6","9.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"250","001 301 6","","19","3.105","15.8","10.5","57.9","10.5",".","5.3",".","",".","",".",".","",".","",".",".",".",".","."
"250","001 301 6","","17","2.735","11.8","5.9","35.3","11.8","29.4","5.9",".","",".","",".",".","",".","",".",".",".",".","."
"250","001 301 6","","19","2.639","5.3","5.3","47.4","10.5","21.1",".","5.3","",".","",".",".","",".","",".","5.3",".",".","."
"250","001 301 6","","20","2.800","10.0","5.0","40.0","25.0","15.0","5.0",".","",".","",".",".","",".","",".",".",".",".","."
"250","001 301 6","","21","2.575",".","4.8","33.3","28.6","28.6",".",".","",".","",".",".","",".","",".",".","4.8",".","."
"250","001 301 6","","17","3.088","35.3","23.5","23.5","5.9",".",".","11.8","",".","",".",".","",".","",".",".",".",".","."
"250","001 301 6","","21","2.667",".","19.0","38.1","19.0","19.0",".","4.8","",".","",".",".","",".","",".",".",".",".","."
"250","001 301 6","","17","2.853","11.8","11.8","29.4","29.4","17.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"250","001 301 6","","15","3.000","6.7","6.7","66.7","20.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"250","001 301 6","","19","2.947","10.5","15.8","36.8","26.3","10.5",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Course Total","","224","2.833","10.7","11.2","40.6","17.4","14.7","1.3","2.7","",".","",".",".","",".","",".","0.9","0.4",".","."
"260","001 309","","18","3.382","16.7","44.4","27.8","5.6",".",".",".","",".","",".",".","",".","",".","5.6",".",".","."
"260","001 308","","18","3.194","16.7","38.9","22.2","11.1","5.6","5.6",".","",".","",".",".","",".","",".",".",".",".","."
"260","001 307","","20","3.105","10.0","45.0","25.0","5.0","5.0",".","5.0","",".","",".",".","",".","",".",".",".","5.0","."
"260","001 306","","19","3.184","21.1","47.4","5.3","21.1",".",".","5.3","",".","",".",".","",".","",".",".",".",".","."
"260","001 304","","16","3.125","6.3","50.0","18.8","12.5","6.3","6.3",".","",".","",".",".","",".","",".",".",".",".","."
"260","001 305","","18","3.278","16.7","44.4","22.2","11.1","5.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"260","001 303","","18","3.028","16.7","16.7","44.4",".","11.1","11.1",".","",".","",".",".","",".","",".",".",".",".","."
"260","001 302","","22","2.955","9.1","27.3","31.8","9.1","4.5","18.2",".","",".","",".",".","",".","",".",".",".",".","."
