"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"Environmental Ethics","Course Total","51","3.398","37.3","27.5","13.7","9.8","5.9","2.0",".","3.9",".",".",".",".",".",".",".","."
"","454
001","20","3.395","40.0","25.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".","5.0","."
"","454
002","15","2.923","13.3","26.7","20.0","13.3","6.7",".","6.7",".",".",".",".",".","13.3",".",".","."
"","454
003","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","49","3.293","32.7","26.5","20.4","8.2","2.0",".","4.1",".",".",".",".",".","4.1",".","2.0","."
"Classical Philosophers","464
001","21","3.250","9.5","52.4","19.0",".",".",".","4.8","4.8",".",".",".",".","9.5",".",".","."
"Junior Honors Seminar","482
001","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","29","3.185","13.8","24.1","41.4","10.3","3.4",".",".","3.4",".",".",".",".","3.4",".",".","."
"Symbolic Logic","511
001","15","2.967","40.0",".","20.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","19","2.944","26.3","10.5","31.6",".","15.8","5.3","5.3",".",".",".",".",".",".",".","5.3","."
"Modern Philosophies of Ed","540
001","22","3.659","40.9","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","27","3.000","25.9","18.5","33.3","3.7","11.1",".","7.4",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","17","3.324","17.6","35.3","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Aesthetic Theories","552
002 310","21","3.048","9.5","19.0","52.4","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","24","3.357","25.0","25.0","29.2","4.2",".","4.2",".","8.3",".",".",".",".","4.2",".",".","."
"Metaphysics","560
001","20","3.056","20.0","15.0","15.0","35.0","5.0",".",".",".",".",".",".",".","5.0","5.0",".","."
