"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","102
002 339","23","2.543","4.3","21.7","26.1","8.7","30.4",".","8.7",".",".",".",".",".",".",".",".","."
"","102
002 338","23","3.348","43.5","21.7","13.0","4.3","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","102
002 337","24","2.978","12.5","20.8","25.0","25.0","8.3","4.2",".",".",".",".",".",".","4.2",".",".","."
"","102
002 336","23","2.826","8.7","17.4","30.4","17.4","26.1",".",".",".",".",".",".",".",".",".",".","."
"","102
002 335","22","2.841","18.2","9.1","22.7","22.7","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"","102
002 334","22","2.909","13.6","18.2","27.3","18.2","22.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002 333","21","2.905","23.8","9.5","19.0","19.0","19.0","9.5",".",".",".",".",".",".",".",".",".","."
"","102
002 330","22","3.024","22.7","13.6","18.2","27.3","4.5","9.1",".",".",".",".",".",".",".","4.5",".","."
"","102
002 331","21","2.800","23.8","9.5","4.8","19.0","28.6","9.5",".",".",".",".",".",".",".","4.8",".","."
"","Section Total","308","2.941","19.5","17.2","21.8","17.2","17.9","4.5","1.0",".",".",".",".",".","0.3","0.6",".","."
"Principles-Macroeconomics","Course Total","566","2.944","19.4","17.1","20.8","17.8","17.8","4.6","0.7","0.4",".",".",".",".","0.7","0.5",".","."
"Prin/Econ-Accelratd Treatmt","111
001","25","3.280","40.0","16.0","24.0",".","12.0","8.0",".",".",".",".",".",".",".",".",".","."
