"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"","700
030","36","3.792","63.9","30.6","5.6",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Financial Accounting","Course Total","136","3.452","26.5","41.2","27.2","4.4",".",".",".","0.7",".",".",".",".","",".",".",".","."
"","701
001","4","3.250","50.0",".","25.0",".",".","25.0",".",".",".",".",".",".","",".",".",".","."
"","701
002","4","2.750",".","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".","",".",".",".","."
"Financial Reporting I","Course Total","8","3.000","25.0","12.5","25.0","12.5","12.5","12.5",".",".",".",".",".",".","",".",".",".","."
"","702
001","3","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","702
003","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Financial Reporting II","Course Total","5","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","706
001","18","3.167","16.7","22.2","44.4","11.1","5.6",".",".",".",".",".",".",".","",".",".",".","."
"","706
002","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Adv Financial Reporting","Course Total","32","3.406","37.5","18.8","34.4","6.3","3.1",".",".",".",".",".",".",".","",".",".",".","."
"","710
001","27","3.611","55.6","14.8","25.9","3.7",".",".",".",".",".",".",".",".","",".",".",".","."
"","710
002","35","3.586","54.3","14.3","28.6",".","2.9",".",".",".",".",".",".",".","",".",".",".","."
"Managerial Accounting","Course Total","62","3.597","54.8","14.5","27.4","1.6","1.6",".",".",".",".",".",".",".","",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","20","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Income Taxatn&Bus Decisions","729
001","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","770
001","40","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","770
002","38","3.724","52.6","39.5","7.9",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","78","3.724","51.3","42.3","6.4",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Reading&Research-Accounting","799
069","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","971
001","4","3.250","25.0",".","75.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","971
002","5","3.200","40.0",".","40.0",".","20.0",".",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 50 of 441",""
