"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","104
002 336","22","2.909","18.2","18.2","13.6","27.3","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"","104
002 333","21","3.000","19.0","14.3","23.8","33.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","104
002 331","21","2.833","4.8","23.8","23.8","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","104
002 342","11","2.850","18.2","9.1","27.3",".","36.4",".",".",".",".",".",".",".","9.1",".",".","."
"","104
002 343","10","2.450","10.0","10.0","30.0",".","40.0",".","10.0",".",".",".",".",".",".",".",".","."
"","104
002 330","21","3.214","28.6","28.6","19.0","4.8","19.0",".",".",".",".",".",".",".",".",".",".","."
"","104
002 335","19","2.816","15.8","15.8","10.5","31.6","15.8","10.5",".",".",".",".",".",".",".",".",".","."
"","104
002 337","22","2.643","9.1","4.5","31.8","9.1","27.3","13.6",".",".",".",".",".",".","4.5",".",".","."
"","104
002 338","19","2.706","5.3","10.5","21.1","31.6","21.1",".",".",".",".",".",".",".",".",".",".","10.5"
"","104
002 340","17","3.094","5.9","29.4","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"","104
002 323","21","2.833","14.3","14.3","23.8","19.0","28.6",".",".",".",".",".",".",".",".",".",".","."
"","104
002 339","20","2.947","15.0","10.0","35.0","20.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 311 of 441",""
