"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"335","001 309 6","","3","2.667",".",".","66.7",".","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","5","2.700",".","20.0","40.0",".","20.0","20.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 308 6","","5","3.200","40.0",".","40.0",".",".","20.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","2","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","7","2.286",".",".","28.6",".","57.1","14.3",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","3","2.333",".",".","33.3",".","33.3","33.3",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","1","2.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","3","2.667",".",".","66.7",".",".","33.3",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","5","2.500",".",".","40.0","20.0","40.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","3","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","4","3.125","25.0","25.0","25.0",".","25.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","2","2.500",".",".","50.0",".","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","5","3.200","40.0",".","40.0",".","20.0",".",".","",".","",".",".","",".","",".",".",".",".","."
