"ECONOMICS","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"","712
002 302","","4","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","712
002 301","","4","3.625","50.0","25.0","25.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","712
002 303","","5","3.200","20.0","20.0","40.0","20.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","","13","3.269","23.1","15.4","53.8","7.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","Course Total","","32","3.172","21.9","12.5","46.9","15.6","3.1","",".","",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","715
001","","34","3.544","38.2","38.2","17.6","5.9",".","",".","",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 3","719
001","","14","3.667","35.7","50.0","7.1",".",".","",".","",".",".",".",".",".",".","7.1",".",".","."
"Public Finance & Fiscal Pol","741
001","","15","3.667","40.0","53.3","6.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750
001","","4","3.500","25.0","50.0","25.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761
001","","31","3.403","19.4","54.8","12.9","12.9",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775
001","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805
001","","20","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Health Economics","848
001","","10","3.667","50.0","40.0","10.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871
001","","19","3.469","31.6","15.8","36.8",".",".","",".","",".",".",".",".",".",".","15.8",".",".","."
"Econ Dev-Theory Stat&Policy","877
001","","2","3.000",".",".","50.0",".",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"Wrkshp in Math Econ Theory","901
001","","21","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903
001","","21","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913
001","","14","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925
001","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 214 of 441",""
