"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"A History of Greek Civ","Course Total","71","3.486","35.2","40.8","18.3","2.8","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"","309
001 302","11","3.635","45.5","36.4",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","309
001 301","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","309
001 304","10","3.500","10.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","309
001 303","12","3.725","41.7","50.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Crusades: Christianity & Islam","Course Total","42","3.636","35.7","50.0","4.8","2.4",".",".",".","2.4",".",".",".",".","2.4","2.4",".","."
"Intro-Byzantine History&Civ","313
001","19","2.939","21.1","15.8","21.1","15.8","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","319
001 303","17","3.775","64.7","23.5",".",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","319
001 305","18","3.500","44.4","16.7","11.1","11.1","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"","319
001 308","16","3.616","62.5","18.8","6.3",".",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"","319
001 306","16","3.207","37.5","18.8","18.8",".","12.5",".","6.3","6.3",".",".",".",".",".",".",".","."
"","319
001 302","16","3.831","62.5","31.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","319
001 304","16","3.728","50.0","37.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","319
001 301","16","3.615","43.8","25.0","12.5","6.3",".",".",".",".",".",".",".",".","6.3","6.3",".","."
"","319
001 307","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Vietnam Wars","Course Total","131","3.628","52.7","26.0","7.6","2.3","3.1",".","1.5","3.8",".",".",".",".","2.3","0.8",".","."
"Early Modern France, 1500-1715","320
001","51","2.954","9.8","19.6","31.4","29.4","7.8","2.0",".",".",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323
001","17","2.938","5.9","58.8","5.9","11.8",".",".","11.8","5.9",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327
001","13","3.308","30.8","30.8","23.1",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","333
001 301","16","3.400","25.0","50.0","6.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","333
001 303","20","3.400","25.0","40.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","333
001 304","17","3.462","23.5","35.3","17.6","5.9",".",".",".",".",".",".",".",".","5.9",".",".","11.8"
"","333
001 302","16","3.759","56.3","31.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"The Renaissance","Course Total","69","3.500","31.9","39.1","15.9","4.3","1.4",".",".","2.9",".",".",".",".","1.4",".",".","2.9"
"","336
001 304","9","3.548","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","336
001 302","15","3.431","40.0","20.0","20.0","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","336
001 303","13","3.542","38.5","38.5","7.7",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
