"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","102
001 306","16","2.938","12.5","18.8","31.3","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"","102
001 305","21","2.775","9.5","19.0","23.8","4.8","33.3","4.8",".","4.8",".",".",".",".",".",".",".","."
"","102
001 304","21","2.714","19.0","9.5","14.3","9.5","42.9","4.8",".",".",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","Course Total","124","2.885","18.5","12.9","25.8","9.7","29.0","2.4",".","1.6",".",".",".",".",".",".",".","."
"","104
001 309","21","3.450","61.9",".","23.8",".","4.8",".","4.8","4.8",".",".",".",".",".",".",".","."
"","104
001 328","21","3.175","23.8","14.3","38.1","9.5","9.5",".",".",".","4.8",".",".",".",".",".",".","."
"","104
001 326","20","3.472","35.0","15.0","40.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","104
001 325","19","3.447","42.1","26.3","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","104
001 311","20","3.300","30.0","35.0","25.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","104
001 302","18","3.361","16.7","38.9","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 323","20","3.600","45.0","30.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 324","20","2.900","10.0","15.0","40.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 163 of 441",""
