"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","114
002 324","23","2.875","21.7","4.3","34.8",".","17.4","4.3","4.3",".",".",".",".",".","4.3","8.7",".","."
"","114
002 325","23","2.696","17.4","4.3","39.1","13.0","13.0","4.3","8.7",".",".",".",".",".",".",".",".","."
"","114
002 326","21","3.095","14.3","23.8","42.9","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","114
002 327","23","2.870","21.7","13.0","30.4","21.7","4.3",".","8.7",".",".",".",".",".",".",".",".","."
"","114
002 329","23","2.783","21.7","8.7","26.1","8.7","21.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"","Section Total","182","2.816","17.6","9.9","30.2","11.5","15.9","8.8","3.3",".",".",".",".",".","1.1","1.1","0.5","."
"Algebra and Trigonometry","Course Total","315","2.785","15.6","11.4","27.6","14.0","18.4","7.3","3.2","0.3",".",".",".",".","1.3","0.6","0.3","."
"","130
002","28","3.357","39.3","14.3","32.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","130
003","30","3.300","26.7","33.3","23.3","6.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"","130
004","30","3.183","30.0","20.0","26.7","3.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","130
005","23","2.565","17.4","8.7","21.7","8.7","26.1","8.7","8.7",".",".",".",".",".",".",".",".","."
"Arithmetical Problm Solving","Course Total","111","3.131","28.8","19.8","26.1","6.3","13.5","3.6","1.8",".",".",".",".",".",".",".",".","."
"","131
001","29","3.707","72.4","6.9","13.8","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","131
002","23","2.978","17.4","17.4","30.4","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"","131
003","31","3.839","71.0","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","131
004","19","3.237","47.4","15.8","10.5","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","102","3.495","54.9","16.7","13.7","5.9","6.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"","132
001","24","2.875","12.5","12.5","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","132
002","32","3.094","21.9","12.5","37.5","18.8","9.4",".",".",".",".",".",".",".",".",".",".","."
"","132
003","24","3.396","50.0","8.3","25.0","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","80","3.119","27.5","11.3","33.8","12.5","15.0",".",".",".",".",".",".",".",".",".",".","."
"","141
001","42","2.964","11.9","23.8","26.2","31.0","2.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"","141
002","40","3.200","30.0","22.5","15.0","22.5","10.0",".",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","82","3.079","20.7","23.2","20.7","26.8","6.1","1.2","1.2",".",".",".",".",".",".",".",".","."
"","171
001 308","22","2.250","4.5","4.5","22.7","22.7","13.6","9.1","13.6",".",".",".",".",".","9.1",".",".","."
"","171
001 310","19","2.611","26.3","5.3","15.8","5.3","15.8","15.8","10.5",".",".",".",".",".","5.3",".",".","."
"","171
001 311","16","3.063","25.0","12.5","25.0","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","171
001 301","24","2.708","12.5","20.8","16.7","12.5","16.7","16.7","4.2",".",".",".",".",".",".",".",".","."
"","171
001 302","16","2.625","12.5","18.8","12.5","18.8","12.5","18.8","6.3",".",".",".",".",".",".",".",".","."
"","171
001 307","24","2.229","4.2","12.5","25.0","8.3","25.0","8.3","16.7",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 277 of 441",""
