"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","173
001 305","18","3.794","72.2","16.7",".",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","173
001 304","20","3.395","25.0","35.0","25.0","10.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","173
001 303","17","3.250","17.6","35.3","23.5","11.8","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"","173
001 302","18","3.206","27.8","22.2","11.1","27.8","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","173
001 301","18","3.500","38.9","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","173
001 308","19","3.447","52.6","31.6",".","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","Section Total","274","3.367","32.5","31.0","16.1","11.7","2.9","0.7","1.1","2.6",".",".",".",".","0.4","1.1",".","."
"","173
002","20","3.275","20.0","40.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Ethnic&Multicultural Lit","Course Total","294","3.360","31.6","31.6","16.3","11.9","3.1","0.7","1.0","2.4",".",".",".",".","0.3","1.0",".","."
"","181
001","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","181
002","18","3.361","27.8","38.9","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Freshman Honors Seminar","Course Total","34","3.529","44.1","32.4","11.8","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"","201
001","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","15","3.071","20.0","26.7","26.7","13.3",".",".","6.7",".",".",".",".",".",".","6.7",".","."
"","201
004","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","15","2.833","6.7","20.0","26.7","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","201
006","19","3.447","36.8","26.3","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","9","3.444","22.2","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","16","3.406","31.3","25.0","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
