"FINANCE, INVESTMENT & BANKI","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"","Section Total","130","3.193","30.0","13.1","29.2","15.4","8.5","1.5","",".","0.8",".",".",".",".","0.8","0.8",".","."
"Introduction to Finance","Course Total","382","3.127","24.3","12.8","36.1","14.9","9.4","1.3","",".","0.5",".",".",".",".","0.3","0.3",".","."
"Finc Mrkts,Instns&Econ Actv","305
001","52","3.087","21.2","26.9","25.0","1.9","25.0",".","",".",".",".",".",".",".",".",".",".","."
"","320
001 302","12","2.833","16.7","16.7","8.3","33.3","25.0",".","",".",".",".",".",".",".",".",".",".","."
"","320
001 303","2","2.750",".","50.0",".",".","50.0",".","",".",".",".",".",".",".",".",".",".","."
"","320
001 301","15","2.800","6.7","33.3","6.7","20.0","33.3",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","29","2.810","10.3","27.6","6.9","24.1","31.0",".","",".",".",".",".",".",".",".",".",".","."
"","320
002 302","10","3.050","20.0","20.0","30.0","10.0","20.0",".","",".",".",".",".",".",".",".",".",".","."
"","320
002 301","23","2.913","4.3","34.8","21.7","17.4","21.7",".","",".",".",".",".",".",".",".",".",".","."
"","320
002 303","4","2.375",".","25.0",".",".","75.0",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","37","2.892","8.1","29.7","21.6","13.5","27.0",".","",".",".",".",".",".",".",".",".",".","."
"","320
003 303","2","2.250",".",".",".","50.0","50.0",".","",".",".",".",".",".",".",".",".",".","."
"","320
003 302","11","2.955","18.2","18.2","27.3","9.1","27.3",".","",".",".",".",".",".",".",".",".",".","."
"","320
003 301","11","3.091","18.2","18.2","36.4","18.2","9.1",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","24","2.958","16.7","16.7","29.2","16.7","20.8",".","",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","90","2.883","11.1","25.6","18.9","17.8","26.7",".","",".",".",".",".",".",".",".",".",".","."
"","325
001 301","54","3.287","27.8","16.7","42.6","11.1","1.9",".","",".",".",".",".",".",".",".",".",".","."
"","325
002 302","31","3.129","22.6","16.1","38.7","9.7","12.9",".","",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","85","3.229","25.9","16.5","41.2","10.6","5.9",".","",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","7","3.643","42.9","42.9","14.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
095","1","3.000",".",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","30","3.300","13.3","33.3","53.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","535
001","2","",".",".",".",".",".",".","",".",".",".",".",".",".",".",".","100.0","."
"","630
001 301","9","3.500","33.3","33.3","33.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","630
001 302","14","3.292","14.3","28.6","35.7","7.1",".",".","",".","14.3",".",".",".",".",".",".",".","."
"","Section Total","23","3.381","21.7","30.4","34.8","4.3",".",".","",".","8.7",".",".",".",".",".",".",".","."
"","630
002 301","7","3.417","28.6","42.9",".",".",".","14.3","",".","14.3",".",".",".",".",".",".",".","."
"","630
002 302","20","3.632","40.0","40.0","15.0",".",".",".","",".","5.0",".",".",".",".",".",".",".","."
"","Section Total","27","3.580","37.0","40.7","11.1",".",".","3.7","",".","7.4",".",".",".",".",".",".",".","."
"Fixd Income&Derivatv Securties","Course Total","50","3.489","30.0","36.0","22.0","2.0",".","2.0","",".","8.0",".",".",".",".",".",".",".","."
