"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"103","001 320 6","","18","3.028","33.3","5.6","22.2","11.1","22.2","5.6",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 308 6","","13","2.885","7.7","15.4","46.2","7.7","23.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 309 6","","4","2.500","25.0",".",".",".","50.0","25.0",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 303 6","","12","3.083","25.0","25.0","8.3","25.0","16.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 310 6","","15","2.967","13.3","26.7","20.0","20.0","20.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 325 6","","9","3.111",".","44.4","44.4",".","11.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Section Total","","322","2.955","22.0","19.3","15.8","13.4","26.1","2.5","0.3","",".","",".",".","",".","",".","0.6",".",".","."
"103","002 330 6","","14","2.429","21.4","7.1",".","7.1","42.9","14.3","7.1","",".","",".",".","",".","",".",".",".",".","."
"103","002 318 6","","2","2.500",".",".",".","100.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 319 6","","4","3.125","25.0","25.0",".","50.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 320 6","","3","2.500",".","33.3",".",".","33.3","33.3",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 321 6","","7","2.429",".",".","14.3","57.1","28.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 322 6","","8","2.625","12.5","12.5","12.5","12.5","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 323 6","","11","2.909","9.1","27.3","18.2","27.3","18.2",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 326 6","","13","2.769","7.7","23.1","15.4","23.1","30.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 317 6","","10","3.000","20.0","20.0","20.0","20.0","20.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 327 6","","18","2.861","22.2","22.2",".","16.7","38.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 329 6","","9","3.000","22.2","11.1","22.2","33.3","11.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 328 6","","12","3.208","33.3","8.3","41.7",".","16.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 325 6","","13","2.500","7.7","7.7","7.7","15.4","38.5","7.7",".","",".","",".",".","",".","",".","7.7","7.7",".","."
"103","002 306 6","","9","3.000","11.1","33.3","11.1","33.3","11.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 301 6","","2","3.000","50.0",".",".",".",".","50.0",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 305 6","","14","2.786","14.3","7.1","21.4","35.7","21.4",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 304 6","","15","2.733","6.7","33.3",".","20.0","33.3","6.7",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 303 6","","9","2.556",".","11.1","22.2","33.3","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 316 6","","6","3.000","16.7","33.3","16.7",".","16.7","16.7",".","",".","",".",".","",".","",".",".",".",".","."
