"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"100","018","","13","3.500","38.5","38.5","15.4",".",".","7.7",".","",".","",".",".","",".","",".",".",".",".","."
"100","019","","15","3.500","20.0","60.0","20.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","020","","14","3.393","21.4","35.7","42.9",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","021","","15","3.100",".","33.3","53.3","13.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","022","","14","3.214",".","42.9","57.1",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","023","","15","3.167","13.3","26.7","40.0","20.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","024","","13","3.154",".","46.2","38.5","15.4",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","025","","13","3.308","15.4","38.5","38.5","7.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","026","","12","3.083","16.7","8.3","50.0","25.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","027","","12","3.292","16.7","41.7","33.3",".","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","028","","15","3.133","6.7","46.7","26.7","6.7","6.7","6.7",".","",".","",".",".","",".","",".",".",".",".","."
"100","029","","12","3.083",".","41.7","41.7","8.3","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","030","","14","3.500","28.6","42.9","28.6",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","031","","15","3.100","6.7","40.0","26.7","20.0","6.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","032","","13","3.423","23.1","53.8","15.4",".","7.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","033","","12","3.250","8.3","41.7","41.7","8.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","034","","14","3.179","14.3","21.4","50.0","14.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","035","","14","3.357","14.3","57.1","21.4",".",".","7.1",".","",".","",".",".","",".","",".",".",".",".","."
"100","036","","14","3.536","35.7","42.9","14.3","7.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","037","","15","3.367","13.3","53.3","26.7","6.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","038","","15","2.833",".","40.0","33.3","6.7","13.3",".","6.7","",".","",".",".","",".","",".",".",".",".","."
"100","039","","13","3.192",".","46.2","46.2","7.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","040","","13","3.192","7.7","46.2","30.8","7.7",".","7.7",".","",".","",".",".","",".","",".",".",".",".","."
"100","041","","12","3.083",".","41.7","33.3","25.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","042","","14","2.964","7.1","14.3","42.9","35.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","043","","13","3.462","38.5","38.5","7.7","7.7","7.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","044","","13","3.308","15.4","53.8","15.4","7.7",".","7.7",".","",".","",".",".","",".","",".",".",".",".","."
"100","045","","15","3.167",".","60.0","20.0","13.3",".","6.7",".","",".","",".",".","",".","",".",".",".",".","."
"100","046","","12","3.000","16.7","41.7","16.7","8.3","8.3",".","8.3","",".","",".",".","",".","",".",".",".",".","."
"100","047","","14","3.786","64.3","28.6","7.1",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","048","","13","2.692",".","23.1","46.2","7.7","7.7","7.7","7.7","",".","",".",".","",".","",".",".",".",".","."
"100","049","","12","3.083","8.3","41.7","16.7","25.0","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
