"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","210
003 311","13","2.885","15.4","23.1","15.4","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"","210
003 312","16","2.567","12.5",".","31.3","18.8","12.5","12.5","6.3",".",".",".",".",".",".",".","6.3","."
"","210
003 310","16","2.563","12.5","6.3","12.5","18.8","43.8","6.3",".",".",".",".",".",".",".",".",".","."
"","Section Total","63","2.524","12.7","7.9","20.6","12.7","31.7","6.3","6.3",".",".",".",".",".",".",".","1.6","."
"","210
004 316","16","2.781","18.8","12.5","25.0","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"","210
004 315","16","2.594","25.0","6.3","6.3","12.5","31.3","12.5","6.3",".",".",".",".",".",".",".",".","."
"","210
004 314","14","2.893","28.6","14.3","7.1","7.1","35.7","7.1",".",".",".",".",".",".",".",".",".","."
"","210
004 313","18","2.750","22.2","5.6","22.2","22.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".","."
"","Section Total","64","2.750","23.4","9.4","15.6","15.6","23.4","7.8","4.7",".",".",".",".",".",".",".",".","."
"","210
005 317","21","2.810","23.8","19.0","4.8","19.0","19.0","9.5","4.8",".",".",".",".",".",".",".",".","."
"","210
005 319","15","2.731","20.0",".","13.3","20.0","26.7","6.7",".",".",".",".",".",".","13.3",".",".","."
"","210
005 318","16","2.563","6.3","12.5","18.8","12.5","50.0",".",".",".",".",".",".",".",".",".",".","."
"","210
005 320","14","3.214","50.0",".","21.4",".","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"","Section Total","66","2.820","24.2","9.1","13.6","13.6","28.8","6.1","1.5",".",".",".",".",".","3.0",".",".","."
"","210
006 321","18","2.722","11.1","16.7","16.7","16.7","38.9",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 319 of 441",""
