"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","109
001 503 8","22","2.886","9.1","18.2","45.5","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","109
001 511 8","18","2.639","11.1","5.6","38.9","11.1","27.8",".","5.6",".",".",".",".",".",".",".",".","."
"","109
001 508 8","17","3.147","23.5","17.6","41.2",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"","109
001 501 8","22","3.023","9.1","27.3","36.4","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"","109
001 505 8","18","3.194","22.2","27.8","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","109
001 502 8","22","3.295","31.8","22.7","31.8",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","109
001 506 8","20","3.150","25.0","20.0","30.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","109
001 507 8","19","3.026","10.5","21.1","47.4","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","109
001 516 8","21","3.167","23.8","28.6","23.8","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","Section Total","313","3.101","20.4","23.3","31.6","8.9","13.7","1.0","1.0",".",".",".",".",".",".",".",".","."
"","109
002 525 8","21","3.024","14.3","23.8","33.3","9.5","19.0",".",".",".",".",".",".",".",".",".",".","."
"","109
002 531 8","19","3.211","21.1","31.6","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"","109
002 533 8","14","3.143","28.6","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","109
002 530 8","20","3.275","30.0","20.0","35.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","109
002 529 8","20","3.025","15.0","40.0","5.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","109
002 528 8","20","3.075","20.0","20.0","30.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","109
002 535 8","23","3.000","13.0","26.1","26.1","17.4","17.4",".",".",".",".",".",".",".",".",".",".","."
"","109
002 534 8","11","2.909","9.1","18.2","45.5",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"","109
002 532 8","21","3.024","14.3","33.3","19.0","9.5","23.8",".",".",".",".",".",".",".",".",".",".","."
"","109
002 526 8","23","3.000","21.7","13.0","26.1","21.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"","109
002 536 8","19","3.079","26.3","10.5","31.6","15.8","15.8",".",".",".",".",".",".",".",".",".",".","."
"","109
002 524 8","16","2.969","12.5","18.8","37.5","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","109
002 523 8","20","3.375","45.0","20.0","10.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","109
002 522 8","21","3.024","38.1","14.3","9.5","9.5","23.8",".","4.8",".",".",".",".",".",".",".",".","."
"","109
002 521 8","21","2.976","9.5","19.0","47.6","4.8","19.0",".",".",".",".",".",".",".",".",".",".","."
"","109
002 527 8","19","2.947","26.3","10.5","15.8","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","Section Total","308","3.068","21.8","21.1","25.6","13.3","17.2","0.6","0.3",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 180 of 441",""
