"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","Section Total","38","3.039","5.3","34.2","42.1","10.5","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"","314
002 306","13","3.077",".","46.2","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","314
002 304","14","3.179","14.3","35.7","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","314
002 305","14","3.077","7.1","21.4","42.9","21.4",".",".",".",".",".",".",".",".","7.1",".",".","."
"","Section Total","41","3.113","7.3","34.1","36.6","12.2","7.3",".",".",".",".",".",".",".","2.4",".",".","."
"Intro-Competitv Manufactrng","Course Total","79","3.077","6.3","34.2","39.2","11.4","5.1","1.3","1.3",".",".",".",".",".","1.3",".",".","."
"","340
001","32","2.719","9.4","12.5","15.6","37.5","21.9","3.1",".",".",".",".",".",".",".",".",".","."
"","340
002","27","2.759","11.1","14.8","11.1","40.7","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","340
003","30","2.783","13.3","16.7","20.0","26.7","10.0","10.0","3.3",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","89","2.753","11.2","14.6","15.7","34.8","14.6","7.9","1.1",".",".",".",".",".",".",".",".","."
"","342
002","45","2.844","6.7","15.6","40.0","15.6","15.6","6.7",".",".",".",".",".",".",".",".",".","."
"","342
003","35","2.829","5.7","14.3","42.9","14.3","11.4","11.4",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","80","2.838","6.3","15.0","41.3","15.0","13.8","8.8",".",".",".",".",".",".",".",".",".","."
"","349
001 301","6","2.833",".",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","349
002 302","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
003 303","11","3.550","27.3","45.5","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","349
004 304","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","42","3.585","50.0","19.0","23.8","4.8",".",".",".",".",".",".",".",".","2.4",".",".","."
"Advanced Graphic Analysis","350
001","21","3.762","52.4","47.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","36","2.736","8.3","11.1","33.3","13.9","33.3",".",".",".",".",".",".",".",".",".",".","."
"","361
003","38","2.792","10.5","18.4","15.8","21.1","28.9",".",".",".",".",".",".",".",".","5.3",".","."
"","361
004","34","2.781","8.8","14.7","26.5","14.7","29.4",".",".","2.9",".",".",".",".",".","2.9",".","."
"Thermodynamics","Course Total","108","2.769","9.3","14.8","25.0","16.7","30.6",".",".","0.9",".",".",".",".",".","2.8",".","."
"","363
001","31","2.867","9.7","19.4","32.3","19.4","9.7","3.2","3.2",".",".",".",".",".","3.2",".",".","."
"","363
002","31","2.806","12.9","12.9","38.7","6.5","25.8",".","3.2",".",".",".",".",".",".",".",".","."
"","363
003","30","2.967","16.7","10.0","43.3","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","92","2.879","13.0","14.1","38.0","12.0","15.2","4.3","2.2",".",".",".",".",".","1.1",".",".","."
"","364
001","28","2.964","3.6","32.1","28.6","25.0","10.7",".",".",".",".",".",".",".",".",".",".","."
"","364
002","34","2.939","14.7","23.5","11.8","29.4","17.6",".",".",".",".",".",".",".","2.9",".",".","."
"","364
003","30","2.883","3.3","26.7","30.0","23.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 133 of 441",""
