"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","112
003","20","3.050","10.0","30.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","112
004","20","2.575","5.0","20.0","20.0","15.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".","."
"","112
005","18","3.611","66.7","11.1","5.6","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","112
006","20","3.600","50.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","18","2.972","5.6","22.2","44.4","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","112
008","17","3.344","11.8","41.2","41.2",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","112
009","17","3.250","23.5","47.1","11.8",".","5.9",".","5.9",".",".",".",".",".","5.9",".",".","."
"Drawing I","Course Total","169","3.096","21.3","25.4","26.6","11.2","7.1","4.7","2.4","0.6",".",".",".",".","0.6",".",".","."
"","212
001","18","3.500","50.0","22.2","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","2.842","26.3","5.3","26.3","15.8","21.1",".","5.3",".",".",".",".",".",".",".",".","."
"","212
003","15","3.643","46.7","33.3","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","212
004","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","71","3.421","45.1","23.9","14.1","5.6","8.5",".","1.4","1.4",".",".",".",".",".",".",".","."
"","214
001","14","3.000","21.4","14.3","42.9","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","214
002","14","3.143","14.3","21.4","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","214
003","14","3.179","14.3","28.6","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","42","3.107","16.7","21.4","40.5","19.0",".",".","2.4",".",".",".",".",".",".",".",".","."
"","222
001","19","3.658","31.6","68.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","18","3.250","16.7","22.2","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
004","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","68","3.551","35.3","41.2","22.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","18","3.167","22.2","22.2","50.0",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","224
002","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 72 of 441",""
