"SPANISH (SPANISH AND PORTU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","102
016","23","2.848","17.4","8.7","30.4","13.0","26.1","4.3",".",".",".",".",".",".",".",".",".","."
"","102
017","19","3.167","31.6","10.5","26.3","10.5","15.8",".",".",".",".",".",".",".","5.3",".",".","."
"","102
018","22","3.432","40.9","13.6","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","24","3.104","20.8","8.3","45.8","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
020","22","3.132","27.3","9.1","22.7","13.6","9.1","4.5",".","9.1","4.5",".",".",".",".",".",".","."
"","102
021","22","3.295","31.8","36.4","4.5","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"","102
022","20","2.725","15.0","5.0","30.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"","102
023","16","3.031","6.3","25.0","43.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
024","11","3.273","27.3","36.4","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
025","15","3.067","26.7","26.7","26.7",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","102
027","19","2.974","10.5","31.6","31.6","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","476","3.080","22.3","16.8","32.6","12.0","10.9","2.1","1.3","1.7","0.2",".",".",".","0.2",".",".","."
"","203
001","23","3.000","26.1","17.4","21.7","17.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","203
002","21","3.143","4.8","38.1","47.6",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 346 of 441",""
