"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","222
002 325","24","2.708","12.5","12.5","33.3","4.2","20.8","12.5","4.2",".",".",".",".",".",".",".",".","."
"","222
002 326","21","3.214","19.0","33.3","33.3",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","222
002 330","20","2.900","30.0","15.0","15.0","5.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","Section Total","210","2.667","17.1","13.8","26.7","4.3","19.0","10.5","8.6",".",".",".",".",".",".",".",".","."
"","222
003 346","23","2.370","8.7","8.7","13.0","4.3","60.9",".","4.3",".",".",".",".",".",".",".",".","."
"","222
003 349","20","2.850","40.0","5.0","25.0","5.0","10.0",".","15.0",".",".",".",".",".",".",".",".","."
"","222
003 344","19","2.684","21.1","5.3","10.5","15.8","36.8","10.5",".",".",".",".",".",".",".",".",".","."
"","222
003 341","19","2.842","15.8","10.5","47.4",".","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","222
003 350","17","1.706",".","5.9","17.6","5.9","23.5","17.6","29.4",".",".",".",".",".",".",".",".","."
"","222
003 348","20","2.500","20.0","5.0","15.0","15.0","30.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"","222
003 347","19","2.559","15.8","5.3","15.8","10.5","31.6","5.3","5.3",".",".",".",".",".",".",".","10.5","."
"","222
003 345","20","2.825","20.0","10.0","20.0","15.0","25.0","10.0",".",".",".",".",".",".",".",".",".","."
"","222
003 351","20","2.450","20.0",".","25.0",".","25.0","20.0","10.0",".",".",".",".",".",".",".",".","."
"","222
003 342","21","2.238","14.3","4.8","14.3","4.8","38.1","9.5","14.3",".",".",".",".",".",".",".",".","."
"","Section Total","198","2.508","17.7","6.1","20.2","7.6","30.3","8.1","9.1",".",".",".",".",".",".",".","1.0","."
"","222
004 368","18","1.917","5.6","11.1",".","16.7","33.3","11.1","22.2",".",".",".",".",".",".",".",".","."
"","222
004 362","21","2.952","19.0","19.0","19.0","19.0","23.8",".",".",".",".",".",".",".",".",".",".","."
"","222
004 372","19","2.553","15.8",".","15.8","36.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".","."
"","222
004 371","21","3.024","28.6","4.8","33.3","9.5","23.8",".",".",".",".",".",".",".",".",".",".","."
"","222
004 370","17","2.529","5.9","17.6","17.6","17.6","23.5","11.8","5.9",".",".",".",".",".",".",".",".","."
"","222
004 373","16","2.313","12.5",".","25.0","12.5","31.3","6.3","12.5",".",".",".",".",".",".",".",".","."
"","222
004 369","20","2.450","20.0","5.0","25.0","5.0","15.0","15.0","15.0",".",".",".",".",".",".",".",".","."
"","222
004 361","19","2.711","15.8","5.3","26.3","10.5","26.3","15.8",".",".",".",".",".",".",".",".",".","."
"","Section Total","151","2.576","15.9","7.9","20.5","15.9","24.5","7.9","7.3",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","730","2.669","15.8","12.3","24.1","11.8","21.1","7.8","6.7",".",".",".",".",".","0.1",".","0.3","."
"","234
001 301","23","3.109","43.5","21.7","17.4",".",".","4.3","13.0",".",".",".",".",".",".",".",".","."
"","234
001 313","20","2.900","25.0","15.0","35.0","5.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","234
001 311","25","3.160","32.0","12.0","32.0","4.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"","234
001 314","20","2.925","15.0","15.0","40.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"","234
001 312","21","2.857","14.3","23.8","28.6","4.8","23.8",".","4.8",".",".",".",".",".",".",".",".","."
"","234
001 304","26","3.558","57.7","19.2","11.5",".","11.5",".",".",".",".",".",".",".",".",".",".","."
"","234
001 303","24","3.292","41.7","16.7","25.0","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","234
001 302","19","3.289","36.8","15.8","31.6",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 281 of 441",""
