"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","226
011","20","3.289","30.0","20.0","30.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","226
012","23","3.500","34.8","34.8","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
013","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
014","20","3.500","35.0","30.0","25.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","226
015","24","3.625","54.2","29.2","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","226
016","19","3.579","47.4","26.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
017","24","3.130","12.5","20.8","50.0","4.2","8.3",".",".","4.2",".",".",".",".",".",".",".","."
"","226
018","16","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
020","19","3.417","31.6","26.3","31.6",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Interm Lang Prac-","Course Total","387","3.323","30.5","23.8","31.3","6.5","4.9","0.3","0.8","1.6",".",".",".",".","0.3","0.3",".","."
"","311
001","23","3.239","21.7","34.8","17.4","21.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","311
003","20","2.912","5.0","10.0","50.0","5.0","10.0","5.0",".","15.0",".",".",".",".",".",".",".","."
"","311
004","20","3.083",".","35.0","35.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","311
005","21","3.476","47.6","28.6","9.5",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","311
006","24","3.659","54.2","20.8","12.5",".","4.2",".",".","4.2",".",".",".",".",".",".",".","4.2"
"","311
007","25","3.480","32.0","36.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
