"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"Theme in 20th C Amer Lit","630
001","","39","3.105","10.3","25.6","43.6","10.3","","7.7","",".","",".","2.6",".",".",".",".",".",".",".","."
"Mod Amer Lit Since 1914","633
001","","30","3.333","30.0","16.7","46.7","3.3","","3.3","",".","",".",".",".",".",".",".",".",".",".","."
"","681
010","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
020","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
047","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
060","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
066","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
076","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Sr Honors Thesis in Major","Course Total","","6","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","682
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","682
038","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
066","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","699
007","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
012","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
013","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".",".",".","100.0","."
"","699
022","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
026","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
029","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
039","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
060","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
067","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
076","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
092","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
114","","14","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
122","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","3.947","89.7",".","6.9",".","",".","",".","",".",".",".",".",".",".",".",".","3.4","."
"Writing and Learning","701
001","","10","4.000","90.0",".",".",".","",".","",".","",".",".",".",".",".",".","10.0",".",".","."
"Contemp Comp Thry I-Classical","704
001","","12","3.813","41.7","25.0",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"Discourse Analysis","710
001","","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Topc-Contmp English Linguis","713
001","","9","4.000","44.4",".",".",".","",".","",".","",".",".",".",".",".",".","55.6",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","Page 223 of 441",""
