"ANIMAL HEALTH & BIOMEDICAL Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","N","NR","Other"
"Special Topics
Course Total","","4","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Thesis Research Seminar
920
001","","8","3.833","","50.0","25.0","",".",".","",".","",".","",".",".","",".",".","",".","25.0","",".",".",".","."
"930
001","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"930
002","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"930
006","","3","3.750","","33.3","33.3","",".",".","",".","",".","",".",".","",".",".","",".","33.3","",".",".",".","."
"930
008","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Advanced Seminar
Course Total","","6","3.900","","66.7","16.7","",".",".","",".","",".","",".",".","",".",".","",".","16.7","",".",".",".","."
"990
002","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
006","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
009","","4","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
010","","5","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
015","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
016","","4","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
018","","3","","",".",".","",".",".","",".","",".","",".","33.3","",".",".","",".","66.7","",".",".",".","."
"990
021","","1","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
023","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
027","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
028","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
032","","2","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
033","","4","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
055","","3","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
058","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
061","","5","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
062","","3","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
064","","1","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
072","","1","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"990
073","","2","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
074","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
076","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
080","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
082","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
083","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
084","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"990
085","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","","","","Page 438 of 441",""
