"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"Sequence Analysis Lab","712
001","","16","3.469","31.3","37.5","","25.0","6.3","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Mechanisms of Enzyme Action","724
001","","4","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","729
001","","23","3.875","13.0","4.3","",".",".","",".","",".","",".","82.6",".",".",".",".",".",".",".","."
"","729
002","","16","3.867","68.8","25.0","",".",".","",".","",".","",".","6.3",".",".",".",".",".",".",".","."
"Advanced Topics","Course Total","","39","3.868","35.9","12.8","",".",".","",".","",".","",".","51.3",".",".",".",".",".",".",".","."
"Practicum-Biochem Teaching","799
042","","14","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Prac Nuc Mag Resonance Thry","800
001","","5","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Regul Mechanisms-Plant Dev","840
001","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics","875
001","","31","3.500","38.7","19.4","","32.3","3.2","",".","",".","",".",".",".",".",".",".","6.5",".",".","."
"Smr-Nutr&Metabolism (Adv)","901
001","","18","3.864","44.4","16.7","",".",".","",".","",".","",".","38.9",".",".",".",".",".",".",".","."
"Smr-Membrane Biochem (Adv)","903
001","","9","4.000","88.9",".","",".",".","",".","",".","",".","11.1",".",".",".",".",".",".",".","."
"Smr-Biomolec Structur (Adv)","905
001","","30","3.545","10.0","20.0","","6.7",".","",".","",".","",".","63.3",".",".",".",".",".",".",".","."
"Smr-Enzymology (Advanced)","909
001","","4","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Molecular Virolgy (Adv)","910
001","","8","4.000","37.5",".","",".",".","",".","",".","",".","62.5",".",".",".",".",".",".",".","."
"Smr:Molec Mech-Hormone Act","911
001","","9","3.944","88.9","11.1","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Molec Mech of Develpmnt","912
001","","17","3.857","64.7","11.8","","5.9",".","",".","",".","",".","17.6",".",".",".",".",".",".",".","."
"Smr-Molecular Biosci (Adv)","914
001","","21","4.000","14.3",".","",".",".","",".","",".","",".","85.7",".",".",".",".",".",".",".","."
"Biotechnol Traing Prgm Smr","932
001","","15","3.800","80.0",".","","20.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
010","","7","",".",".","",".",".","",".","",".","",".","14.3",".",".",".","85.7",".",".",".","."
"","990
022","","3","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
037","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
039","","5","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
040","","3","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
041","","6","",".",".","",".",".","",".","",".","",".","83.3","16.7",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 11 of 441",""
