"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"335","001 303 6","","5","3.100","20.0","20.0","40.0",".",".","20.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","2","3.000","50.0",".",".",".","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","3","2.667","33.3",".",".",".",".","66.7",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","1","0.000",".",".",".",".",".",".","100.0","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","2","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","6","2.500",".","16.7","16.7","16.7","33.3","16.7",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 308 6","","6","2.500",".",".","50.0",".","33.3","16.7",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","8","2.938","12.5","12.5","50.0",".","12.5","12.5",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","1","2.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","7","2.571",".",".","57.1",".","42.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","3","2.833","33.3",".",".","33.3","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","8","2.438","12.5",".","12.5","12.5","25.0","37.5",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","4","2.375",".","25.0",".",".","75.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","1","0.000",".",".",".",".",".",".","100.0","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","2","3.000","50.0",".",".",".","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","3","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","2","2.750",".","50.0",".",".","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","2","2.250",".",".",".","50.0","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","5","2.200",".",".","20.0",".","60.0","20.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","2","3.000","50.0",".",".",".",".","50.0",".","",".","",".",".","",".","",".",".",".",".","."
