"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","258
001 304","15","3.267","6.7","60.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","258
001 301","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Humanity, Religion&Society","Course Total","42","3.155","11.9","38.1","33.3","11.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","341
001 303","19","3.026","15.8","15.8","42.1","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","341
001 301","21","2.737","4.8","14.3","23.8","23.8","23.8",".",".","4.8",".",".",".",".","4.8",".",".","."
"","341
001 305","21","2.850","9.5","23.8","9.5","33.3","19.0",".",".",".",".",".",".",".","4.8",".",".","."
"","341
001 304","22","2.909",".","22.7","45.5","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","83","2.881","7.2","19.3","30.1","22.9","16.9",".",".","1.2",".",".",".",".","2.4",".",".","."
"","341
002 325","21","3.150","14.3","23.8","38.1","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 301 of 441",""
