"FRENCH (FRENCH AND ITALIAN)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","203
008","15","3.200","6.7","53.3","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
010","23","2.761","4.3","17.4","34.8","13.0","21.7","8.7",".",".",".",".",".",".",".",".",".","."
"","203
011","19","3.033","21.1","21.1","15.8","5.3","5.3","5.3","5.3","15.8",".",".",".",".",".","5.3",".","."
"","203
012","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","180","3.173","23.3","25.0","22.2","15.0","8.3","1.7","0.6","1.7",".",".",".",".","0.6","1.1","0.6","."
"","204
001","24","3.250","20.8","45.8","20.8","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","204
004","17","3.235","11.8","35.3","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","204
006","18","3.083",".","44.4","33.3","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","204
008","24","3.479","41.7","29.2","16.7","8.3",".","4.2",".",".",".",".",".",".",".",".",".","."
"","204
010","17","3.118","11.8","29.4","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","204
011","21","3.353","23.8","23.8","23.8","4.8","4.8",".",".","14.3",".",".",".",".",".","4.8",".","."
"Fourth Semester French","Course Total","121","3.265","19.8","34.7","27.3","9.9","3.3","0.8","0.8","2.5",".",".",".",".",".","0.8",".","."
"","227
001","21","3.500","33.3","38.1","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","24","3.458","33.3","45.8","8.3","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","227
003","17","3.500","35.3","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","227
004","21","3.024","14.3","28.6","19.0","23.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","83","3.367","28.9","37.3","18.1","9.6","6.0",".",".",".",".",".",".",".",".",".",".","."
"","228
001","11","3.000","36.4",".","18.2","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"","228
001 301","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","18","3.164","27.8","16.7","27.8","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","228
002","15","3.638","40.0","33.3","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","228
002 302","6","3.333","50.0",".","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","21","3.523","42.9","23.8","14.3","9.5",".",".",".","9.5",".",".",".",".",".",".",".","."
"","228
003 303","11","3.800","54.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 227 of 441",""
