"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","277
001 301","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","Course Total","34","2.645","8.8","20.6","2.9","26.5","29.4",".","2.9","5.9",".",".",".",".",".","2.9",".","."
"","312
001 301","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001 304","22","3.136","27.3","18.2","22.7","18.2","13.6",".",".",".",".",".",".",".",".",".",".","."
"","312
001 302","22","2.909","13.6","13.6","31.8","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","312
001 303","20","2.750","10.0","10.0","30.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","312
001 305","19","2.974","15.8","10.5","42.1","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","Course Total","94","3.005","17.0","18.1","30.9","17.0","14.9","2.1",".",".",".",".",".",".",".",".",".","."
"","337
001 301","6","",".",".",".",".",".",".",".",".",".",".",".",".","66.7",".",".","33.3"
"","337
001 302","26","3.220","19.2","30.8","26.9","11.5","3.8","3.8",".",".",".",".",".",".","3.8",".",".","."
"","337
001 303","23","3.000","17.4","17.4","34.8","8.7","4.3","4.3","4.3",".",".",".",".",".","8.7",".",".","."
"","337
001 304","22","3.273","13.6","50.0","18.2","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","337
001 305","22","3.227","4.5","54.5","27.3","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","337
001 306","12","3.227",".","58.3","16.7","16.7",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intl Institutns&World Order","Course Total","111","3.188","11.7","37.8","24.3","10.8","2.7","2.7","0.9",".",".",".",".",".","7.2",".",".","1.8"
"","359
001 305","24","3.313","25.0","41.7","12.5","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","359
001 304","20","3.625","60.0","15.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","359
001 303","26","3.320","38.5","15.4","23.1","7.7","7.7","3.8",".","3.8",".",".",".",".",".",".",".","."
"","359
001 302","24","3.261","20.8","29.2","33.3","4.2","8.3",".",".",".",".",".",".",".","4.2",".",".","."
"","359
001 301","19","3.694","57.9","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3","."
"Probs-Amer Foreign Policy","Course Total","113","3.423","38.9","24.8","19.5","8.0","5.3","0.9",".","0.9",".",".",".",".","0.9",".","0.9","."
