"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","N","NR","Other"
"101","002 337","","24","3.208","41.7","12.5","16.7","4.2","20.8","4.2",".",".","",".",".","",".","",".",".",".",".","."
"101","002 338","","23","2.886","26.1","4.3","17.4","17.4","26.1","4.3",".","4.3","",".",".","",".","",".",".",".",".","."
"101","002 333","","22","2.955","27.3","4.5","22.7","22.7","18.2","4.5",".",".","",".",".","",".","",".",".",".",".","."
"101","002 341","","24","3.021","29.2","12.5","20.8","8.3","29.2",".",".",".","",".",".","",".","",".",".",".",".","."
"","Section Total","","372","2.951","22.3","12.4","26.6","14.0","20.2","3.0","1.1","0.3","",".",".","",".","",".","0.3",".",".","."
"101","003 374","","23","2.804","13.0","17.4","13.0","30.4","26.1",".",".",".","",".",".","",".","",".",".",".",".","."
"101","003 368","","23","2.717","8.7","8.7","39.1","4.3","30.4","8.7",".",".","",".",".","",".","",".",".",".",".","."
"101","003 366","","24","2.771","12.5","4.2","37.5","16.7","25.0","4.2",".",".","",".",".","",".","",".",".",".",".","."
"101","003 364","","24","2.771","20.8","8.3","29.2","4.2","29.2","4.2","4.2",".","",".",".","",".","",".",".",".",".","."
"101","003 362","","24","2.917","20.8","16.7","20.8","8.3","20.8","12.5",".",".","",".",".","",".","",".",".",".",".","."
"101","003 361","","24","2.958","29.2",".","25.0","25.0","20.8",".",".",".","",".",".","",".","",".",".",".",".","."
"101","003 360","","24","2.771",".","20.8","41.7","8.3","20.8","8.3",".",".","",".",".","",".","",".",".",".",".","."
"101","003 359","","23","2.717","8.7","8.7","30.4","21.7","21.7","8.7",".",".","",".",".","",".","",".",".",".",".","."
"101","003 358","","23","3.283","43.5","13.0","17.4","8.7","13.0","4.3",".",".","",".",".","",".","",".",".",".",".","."
"101","003 357","","24","2.909","29.2","4.2","12.5","12.5","25.0","8.3",".",".","",".",".","",".","",".",".",".","8.3","."
"101","003 356","","24","2.813","12.5","4.2","37.5","25.0","16.7","4.2",".",".","",".",".","",".","",".",".",".",".","."
"101","003 370","","24","2.938","33.3","4.2","20.8","16.7","16.7","4.2","4.2",".","",".",".","",".","",".",".",".",".","."
"101","003 371","","23","3.043","17.4","21.7","26.1","21.7","8.7","4.3",".",".","",".",".","",".","",".",".",".",".","."
"101","003 369","","23","2.977","26.1","13.0","17.4","8.7","21.7","8.7",".","4.3","",".",".","",".","",".",".",".",".","."
