"LANGUAGES AND CULTURES OF Section","","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","N","NR","Other"
"SE Asia:Vietnam to Philipns","","Course Total","","3","3.333","33.3","33.3",".","33.3",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Civs of India-Modern Period","252","001 301","","18","3.313","38.9","16.7","5.6","16.7","11.1","",".",".",".","",".",".","",".","",".","11.1",".",".","."
"Topics in LCA","300","001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Elementary Telugu Intensive","303","001","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Year Telugu","305","001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Year Hindi","307","001","","9","3.722","55.6","33.3","11.1",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Hindi","309","001","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"First Semester Indonesian","311","001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"First Semester Thai","313","001","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Third Semester Thai","315","001","","6","3.500","50.0","16.7","16.7","16.7",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Year Sanskrit","319","001","","3","4.000","66.7",".",".",".",".","",".",".","33.3","",".",".","",".","",".",".",".",".","."
"First Semester Turkish","326","001","","5","4.000","80.0",".",".",".",".","",".",".","20.0","",".",".","",".","",".",".",".",".","."
"Third Semester Turkish","331","001","","6","3.833","66.7","33.3",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"1st Semstr Pilipino/Tagalog","333","001","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Modern Indian Literature","336","001","","35","3.735","57.1","31.4","5.7","2.9",".","",".",".","2.9","",".",".","",".","",".",".",".",".","."
"Third Semester Indonesian","337","001","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Year Urdu","345","001","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"First Year Hindi I","354","001","","27","3.764","51.9","29.6",".","3.7",".","",".",".","3.7","",".",".","",".","",".","3.7",".",".","7.4"
"First Year Urdu I","357","001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Readings in Advanced Urdu","359","001","","2","3.750","50.0","50.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Arts of India","362","001","","5","3.500","20.0","60.0","20.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Introduction to Buddhism","364","001","","19","3.237","5.3","47.4","36.8","10.5",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Islam: Religion and Culture","370","001 301","","16","3.250","37.5","25.0","25.0",".","6.3","",".","6.3",".","",".",".","",".","",".",".",".",".","."
"Elementary Literary Tibetan","375","001","","11","3.550","45.5","9.1","36.4",".",".","",".",".",".","",".",".","",".","",".","9.1",".",".","."
"Indian Folklore","394","001","","13","3.750","53.8","30.8","7.7",".",".","",".",".","7.7","",".",".","",".","",".",".",".",".","."
"Fifth Semester Indonesian","403","001","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Elementary Literary Persian","408","001","","7","3.840","71.4",".","14.3",".",".","",".",".","14.3","",".",".","",".","",".",".",".",".","."
"Intro to South Asian Religions","416","001","","3","3.667","33.3","66.7",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
