"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"Directed Study","Course Total","15","3.967","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","327
001 301 6","14","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","327
001 304 6","7","3.571","57.1","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","327
001 303 6","13","3.500","30.8","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","327
001 302 6","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","Course Total","46","3.446","28.3","45.7","15.2","8.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","329
001 313 6","16","3.125","31.3","12.5","43.8",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","329
001 312 6","16","3.219","37.5","6.3","31.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","329
001 311 6","15","3.000","20.0","26.7","26.7","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","Course Total","47","3.117","29.8","14.9","34.0","8.5","6.4","2.1","4.3",".",".",".",".",".",".",".",".","."
"","341
001 309","15","2.733","13.3","13.3","20.0","13.3","40.0",".",".",".",".",".",".",".",".",".",".","."
"","341
001 303","18","2.722","16.7","5.6","22.2","16.7","33.3","5.6",".",".",".",".",".",".",".",".",".","."
"","341
001 302","14","2.786","14.3","21.4","28.6","7.1","21.4",".","7.1",".",".",".",".",".",".",".",".","."
"","341
001 305","17","2.875","17.6","5.9","35.3","5.9","23.5","5.9",".",".",".",".",".",".","5.9",".",".","."
"","341
001 306","14","3.036","21.4","14.3","35.7","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","341
001 308","15","3.167","33.3","20.0","13.3","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"","341
001 301","17","2.625","11.8","11.8","5.9","23.5","29.4","11.8",".","5.9",".",".",".",".",".",".",".","."
"","341
001 304","15","2.633","13.3","13.3",".","33.3","33.3","6.7",".",".",".",".",".",".",".",".",".","."
"","341
001 310","16","2.750","18.8","12.5","12.5","12.5","37.5","6.3",".",".",".",".",".",".",".",".",".","."
"","341
001 307","18","2.735","11.1","16.7","22.2","22.2","16.7",".","5.6","5.6",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","Course Total","159","2.801","17.0","13.2","19.5","15.7","25.8","5.7","1.3","1.3",".",".",".",".","0.6",".",".","."
"","342
001 301","16","3.344","25.0","31.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","342
002 302","12","3.292","25.0","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","342
003 303","13","3.346","23.1","46.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","342
004 304","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","342
005 305","10","3.313","30.0","10.0","20.0","20.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 181 of 441",""
