"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"","272
001 304","16","3.469","50.0","18.8","18.8",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","272
001 305","19","3.658","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
001 306","19","3.579","52.6","15.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","Course Total","107","3.495","45.8","25.2","20.6","2.8","3.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"","350
001 301 6","18","2.833","11.1","22.2","44.4","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","350
001 301 6","15","3.000","6.7","20.0","53.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","350
001 301 6","17","3.206","17.6","35.3","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","350
001 301 6","18","3.194","5.6","38.9","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001 301 6","17","2.794","5.9","11.8","35.3","29.4","17.6",".",".",".",".",".",".",".",".",".",".","."
"","350
001 301 6","12","3.333","8.3","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001 301 6","18","2.889","11.1","16.7","50.0","5.6","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","350
001 301 6","11","3.091","18.2","9.1","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","350
001 301 6","19","2.816",".","5.3","57.9","31.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"","350
001 301 6","17","3.000","5.9","17.6","47.1","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","Course Total","162","3.000","8.6","22.8","43.8","16.7","6.2",".","1.9",".",".",".",".",".",".",".",".","."
"","351
001 301 6","16","3.000","6.3","31.3","50.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","351
001 301 6","9","3.056","11.1","33.3","33.3",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","5","2.800",".","20.0","40.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","4","3.333",".","50.0","25.0",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","351
001 302 6","4","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001  610","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","7","2.786",".","42.9",".","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 301 6","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","6","3.417","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 301 6","14","2.929",".","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","351
001 301 6","10","3.050","10.0","30.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","351
001 301 6","16","3.188","25.0","12.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
