"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"Eur Union:Politics&Pol Econ","338","001","73","3.218","24.7","34.2","20.5","9.6","5.5","2.7","1.4",".",".",".",".",".",".","1.4",".","."
"Probs-Amer Foreign Policy","359","001","100","3.374","41.0","24.0","19.0","8.0","4.0","1.0","2.0",".",".",".",".",".",".",".",".","1.0"
"African Intl Relations","362","001","36","3.034","25.0","13.9","27.8","16.7","5.6","2.8","2.8",".",".",".",".",".",".","2.8",".","2.8"
"","401","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","","Section Total","3","3.875","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","23","3.522","39.1","52.2","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","401","002","33","3.097","21.2","21.2","27.3","3.0","21.2",".",".","3.0",".",".",".",".",".","3.0",".","."
"Selected Topics-Poli Sci","","Course Total","59","3.299","30.5","33.9","16.9","1.7","11.9",".","1.7","1.7",".",".",".",".",".","1.7",".","."
"Amer Politics & Government","404","001","85","3.003","14.1","20.0","38.8","14.1","7.1","1.2","2.4","2.4",".",".",".",".",".",".",".","."
"The American Presidency","408","001","92","3.104","19.6","16.3","40.2","13.0","8.7","1.1",".",".",".",".",".",".",".",".","1.1","."
"Constitutional Law","411","001","207","3.306","22.7","30.4","35.7","4.8","4.3","0.5",".","0.5",".",".",".",".",".",".","1.0","."
"Legislative Process","426","001","54","2.800","1.9","25.9","24.1","35.2","9.3","3.7",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","29","3.172","13.8","41.4","27.6","6.9","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","464","001","13","3.385","38.5","23.1","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Women and Politics","469","001","32","3.219","25.0","28.1","25.0","9.4","12.5",".",".",".",".",".",".",".",".",".",".","."
"Public Opinion","473","001","49","3.083","16.3","16.3","44.9","16.3","2.0",".","2.0",".",".",".",".",".","2.0",".",".","."
"Political Socialization","477","001","22","3.379","45.5","27.3","13.6","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 272 of 391",""
